Date,Segment_id,x,y,Evapotranspiration,Precipitation,Irrigation_pumping,Observed
728203,149,1387150,14640480,3.8,35.42,-0.041999,8.1040984
710487,53,1049230,14666880,2.98,17.99,0.0,120.95
730149,170,1270990,14714400,1.3,26.72,0.0,55.1627119
724732,138,1434670,14624640,0.0,26.68,0.0,8.0
722571,60,1144270,14677440,4.73,14.26,0.0,12.5085246
711217,130,785230,14566560,2.45,23.94,0.0,56.283606999999996
713958,97,727150,14402880,1.58,9.99,0.0,5.213115
716880,98,721870,14387040,0.0,0.0,0.0,0.43
723820,189,1392430,14571840,0.0,0.0,0.0,0.43
719771,65,838030,14556000,6.05,15.31,-0.66483,2.4092623
714931,59,874990,14556000,6.69,20.55,-0.45101,15.3936066
721963,188,927790,14550720,4.61,12.74,-0.8980899999999999,40.516393
730302,96,806350,14550720,9.35,19.91,-0.32063,1.8447218999999997
717976,147,906670,14693280,1.89,27.18,0.0,68.5311475
724702,149,1387150,14640480,0.4,24.15,-0.016,7.42666667
725158,189,1392430,14571840,0.0,0.0,0.0,1.3967213109999999
714931,118,1186510,14761920,6.69,24.29,-0.046099,0.48434426
721658,178,927790,14540160,0.0,16.4,0.0,-5.4032787
718888,55,1133710,14619360,4.32,22.09,0.0,2.3977869
730029,178,927790,14540160,1.79,15.31,-0.030195999999999997,-4.8901639
711828,176,790510,14424000,0.47,22.06,0.0,43.59032258
714323,178,927790,14540160,2.67,13.44,-0.07245800000000001,-17.95082
713532,40,1798990,14561280,7.73,22.8,-0.037870999999999995,12.5909091
729238,40,1798990,14561280,4.72,29.23,-0.505,12.1868852
719802,51,1154830,14413440,0.0,0.0,0.0,0.0
717184,171,1508590,14524320,7.4,26.65,-0.12242,0.36885246
727502,64,1645870,14566560,0.0,21.29,-0.0090906,5.917459
720745,148,1703950,14561280,6.04,40.36,-0.012,21.414754100000003
730271,149,1387150,14640480,4.49,26.72,-0.19964,6.6345902
715600,145,1207630,14460960,0.0,0.0,0.0,0.983050847
726103,138,1434670,14624640,0.0,20.98,0.0,8.6619355
724185,56,1170670,14582400,0.0,0.0,0.0,7.59
710153,239,1630030,14550720,4.6,32.48,0.0,684.18033
720898,60,1144270,14677440,3.86,26.15,0.0,20.591475
724824,146,1329070,14445120,0.0,0.0,0.0,1.062131148
716150,178,927790,14540160,3.45,22.5,-0.084428,-6.3934426
715480,152,1392430,14545440,0.0,0.0,0.0,0.0
729876,60,1144270,14677440,7.43,15.49,0.0,15.4377049
709149,59,874990,14556000,8.72,28.87,0.0,12.84786885
730059,96,806350,14550720,0.83,14.22,0.0,1.03798341
715205,178,927790,14540160,0.0,20.58,0.0,20.166102
725432,138,1434670,14624640,2.11,19.68,0.0,8.6277966
710640,147,906670,14693280,6.38,17.8,0.0,55.96393440000001
724916,96,806350,14550720,3.18,13.53,0.0,1.4639483999999998
727288,51,1154830,14413440,0.0,0.0,0.0,0.0
730241,144,1086190,14476800,6.11,23.18,0.0,2.452459
729360,65,838030,14556000,0.98,19.87,0.0,3.8511290000000002
711583,157,1022830,14672160,5.4,19.02,0.0,94.4967213
712892,56,1170670,14582400,0.0,0.0,0.0,1.206393443
729694,59,874990,14556000,0.71,15.02,0.0,8.39180328
720625,189,1392430,14571840,0.0,0.0,0.0,0.7
722540,96,806350,14550720,2.99,11.96,0.0,2.36957414
724124,96,806350,14550720,7.49,25.44,-0.22576,2.8447411
713501,96,806350,14550720,8.8,13.49,-0.0035749,0.4094866
710245,145,1207630,14460960,0.0,0.0,0.0,3.44
712224,55,1133710,14619360,0.69,19.0,0.0,0.18
720014,51,1154830,14413440,0.0,0.0,0.0,0.014754098
713167,130,785230,14566560,9.6,14.39,0.0,56.6065574
713470,171,1381870,14460960,0.0,0.0,0.0,7.606557377000001
712831,63,1619470,14556000,3.23,32.06,-0.007453,4.6934426
711431,59,874990,14556000,0.48,20.35,0.0,13.943934400000002
712862,147,906670,14693280,2.9,25.7,0.0,82.152459
716362,171,1381870,14460960,0.0,0.0,0.0,4.945901639
715327,152,1392430,14545440,0.0,0.0,0.0,2.43147541
712617,147,906670,14693280,1.09,25.7,0.0,73.6652542
713805,135,1223470,14761920,6.34,16.6,-0.0092305,6.53
719922,96,806350,14550720,0.65,16.3,0.0,3.4028391000000004
713440,40,1798990,14561280,6.63,22.8,0.0,15.398689000000001
725646,146,1329070,14445120,0.0,0.0,0.0,0.0
719922,56,1170670,14582400,0.0,0.0,0.0,4.002903226
718858,170,1270990,14714400,2.23,17.16,0.0,62.16
709057,159,1218190,14614080,6.98,29.22,0.0,28.937704999999998
712252,196,1482190,14577120,0.0,0.0,0.0,14.57096774
721841,96,806350,14550720,6.13,11.26,0.0,4.1672339
723940,55,1133710,14619360,0.76,26.49,-0.0042856000000000005,0.91305085
711187,59,874990,14556000,1.3,20.35,0.0,14.0394915
714781,65,838030,14556000,0.52,19.61,0.0,8.8516129
716545,59,874990,14556000,0.76,16.82,0.0,13.866803299999999
714262,97,727150,14402880,9.03,11.33,-0.24918,6.3
725646,51,1154830,14413440,0.0,0.0,0.0,0.0
727502,149,1387150,14640480,0.0,21.21,-0.041999,5.840082
723394,147,906670,14693280,5.91,18.81,-1.3202,23.347541
714628,148,1703950,14561280,7.54,16.57,-0.23705,14.9150943
727227,149,1387150,14640480,1.14,21.21,-0.041999,6.8512712
714750,59,874990,14556000,0.79,12.16,0.0,14.0064516
714139,59,874990,14556000,4.33,11.33,0.0,15.1
715753,189,1392430,14571840,0.0,0.0,0.0,0.0
724732,148,1703950,14561280,0.0,21.41,-0.015,25.2901639
724519,189,1392430,14571840,0.0,0.0,0.0,0.692786885
